ID,Image ID,Captioning
1,1091500_579.jpg,A motorcyclist is mid-air against an orange-lit foggy background with wind turbines.
2, 20250119204532_1.jpg,A cybernetic soldier with a golden mask and glowing red eyes leans forward menacingly.
3, 20250119205012_1.jpg,A sleek futuristic black car with neon blue lighting is parked in a VIP section.
4, 20250119205214_1.jpg,A futuristic gold-plated luxury car with a sleek design is parked in a dim garage.
5, 20250119205318_1.jpg,A sleek futuristic black car with glowing blue accents is parked in a VIP sector.
6, 20250119205354_1.jpg,A first-person view inside a futuristic Rayfield car with a sleek digital dashboard.
7, 20250119205422_1.jpg,A menacing figure with cybernetic enhancements is pointing a gun while opening a car door in a futuristic setting.
8, 20250119205532_1.jpg,"A cybernetically enhanced man lies on the ground, restrained by an officer, as smoke rises"
9, 20250119205714_1.jpg,"A masked officer in tactical gear holds a glowing baton, viewed from a low angle."
10, 20250119205821_1.jpg,A cybernetic man with facial implants sits against a pillar in a cluttered urban alley.
11, 20250119210553_1.jpg,A tattooed woman with red hair aims a shotgun in a dimly lit hallway.
12, 20250119210953_1.jpg,A cybernetic woman with injuries lies unconscious in an ice-filled bathtub.
13, 20250119211145_1.jpg,A cybernetic woman lies unconscious on a wet floor as someone uses a medical device.
14, 20250119211229_1.jpg,A futuristic medical vehicle hovers over a neon-lit city as a wounded figure lies nearby.
15, 20250119211548_1.jpg,"A neon-lit rainy street with futuristic billboards, a few pedestrians, and a glowing skyline."
16, 20250119211606_1.jpg,"A neon-lit rainy cityscape with a red tree, digital billboards, and wet streets."
17, 20250119212158_1.jpg,A glowing billboard features a man with exaggerated breasts and bold text.
18, 20250119212402_1.jpg,A flying car hovers near neon-lit skyscrapers with holographic billboards and dark skies.
19, 20250119213658_1.jpg,A cyberpunk woman with short red hair and tattoos stands in a dimly lit room.
20, 20250119215740_1.jpg,A cybernetic doctor with glasses and tattoos leans on a table in dim lighting.
21, 20250119220342_1.jpg,A rugged black car with a reinforced front grille drives through a futuristic urban street.
